HomeTeam,AwayTeam,Penalties,Date,Time,Year,Home Team Goals,Away Team Goals,Total Goals Scored
Cameroon,Serbia,[],28 November 2022,13:00,2022,3,3,6
Brazil,Serbia,[],24 November 2022,22:00,2022,2,0,2
Switzerland,Cameroon,[],24 November 2022,13:00,2022,1,0,1
Canada,Morocco,[],1 December 2022,18:00,2022,1,2,3
Croatia,Belgium,[],1 December 2022,18:00,2022,0,0,0
Portugal,Uruguay,[],28 November 2022,22:00,2022,2,0,2
Brazil,Switzerland,[],28 November 2022,19:00,2022,1,0,1
Ghana,Uruguay,[],2 December 2022,18:00,2022,0,2,2
France,Morocco,[],14 December 2022,22:00,2022,2,0,2
Netherlands,United States,[],3 December 2022,18:00,2022,3,1,4
Argentina,Australia,[],3 December 2022,22:00,2022,2,1,3
France,Poland,[],4 December 2022,18:00,2022,3,1,4
England,Senegal,[],4 December 2022,22:00,2022,3,0,3
Japan,Croatia,['1–3'],5 December 2022,18:00,2022,1,1,2
Brazil,South Korea,[],5 December 2022,22:00,2022,4,1,5
Morocco,Spain,['3–0'],6 December 2022,18:00,2022,0,0,0
Portugal,Switzerland,[],6 December 2022,22:00,2022,6,1,7
Croatia,Brazil,['4–2'],9 December 2022,18:00,2022,1,1,2
Netherlands,Argentina,['3–4'],9 December 2022,22:00,2022,2,2,4
Morocco,Portugal,[],10 December 2022,18:00,2022,1,0,1
England,France,[],10 December 2022,22:00,2022,1,2,3
Argentina,Croatia,[],13 December 2022,22:00,2022,3,0,3
Belgium,Morocco,[],27 November 2022,16:00,2022,0,2,2
South Korea,Portugal,[],2 December 2022,18:00,2022,2,1,3
Belgium,Canada,[],23 November 2022,22:00,2022,1,0,1
Poland,Argentina,[],30 November 2022,22:00,2022,0,2,2
Costa Rica,Germany,[],1 December 2022,22:00,2022,2,4,6
Croatia,Morocco,[],17 December 2022,18:00,2022,2,1,3
Qatar,Ecuador,[],20 November 2022,19:00,2022,0,2,2
Senegal,Netherlands,[],21 November 2022,19:00,2022,0,2,2
Qatar,Senegal,[],25 November 2022,16:00,2022,1,3,4
Netherlands,Ecuador,[],25 November 2022,19:00,2022,1,1,2
Ecuador,Senegal,[],29 November 2022,18:00,2022,1,2,3
Netherlands,Qatar,[],29 November 2022,18:00,2022,2,0,2
England,Iran,[],21 November 2022,16:00,2022,6,2,8
United States,Wales,[],21 November 2022,22:00,2022,1,1,2
Wales,Iran,[],25 November 2022,13:00,2022,0,2,2
England,United States,[],25 November 2022,22:00,2022,0,0,0
Wales,England,[],29 November 2022,22:00,2022,0,3,3
Iran,United States,[],29 November 2022,22:00,2022,0,1,1
Argentina,Saudi Arabia,[],22 November 2022,13:00,2022,1,2,3
Mexico,Poland,[],22 November 2022,19:00,2022,0,0,0
Poland,Saudi Arabia,[],26 November 2022,16:00,2022,2,0,2
Argentina,Mexico,[],26 November 2022,22:00,2022,2,0,2
Saudi Arabia,Mexico,[],30 November 2022,22:00,2022,1,2,3
Denmark,Tunisia,[],22 November 2022,16:00,2022,0,0,0
France,Australia,[],22 November 2022,22:00,2022,4,1,5
Tunisia,Australia,[],26 November 2022,13:00,2022,0,1,1
France,Denmark,[],26 November 2022,19:00,2022,2,1,3
Australia,Denmark,[],30 November 2022,18:00,2022,1,0,1
Tunisia,France,[],30 November 2022,18:00,2022,1,0,1
Germany,Japan,[],23 November 2022,16:00,2022,1,2,3
Spain,Costa Rica,[],23 November 2022,19:00,2022,7,0,7
Japan,Costa Rica,[],27 November 2022,13:00,2022,0,1,1
Spain,Germany,[],27 November 2022,22:00,2022,1,1,2
Japan,Spain,[],1 December 2022,22:00,2022,2,1,3
Morocco,Croatia,[],23 November 2022,13:00,2022,0,0,0
Argentina,France,['4–2'],18 December 2022,18:00,2022,3,3,6
